Age Group,Gender,Occupation,Residence,Used Chatbot Before,Customer Service Preference,Frequency of Chatbot Use,Chatbot Experience Rating,Primary Chatbot Usage,Satisfaction with Personalization,Last Chatbot Usage Purpose,Industry of Last Chatbot Interaction,Chatbot Issue Resolution,Transition to Human Agent,Best Query Type for Chatbots,EU1,EU2,EU3,EU4,RS1,RS2,RS3,RS4,ARI4,PCA1,PCA2,PCA3,PCA4,CSI1,CSI2,CSI3,CSI4,PSE1,PSE2,PSE3,PSE4,CR2,CR3,CR4,TS1,TS3,IHS1,IHS2,IHS3,IHS4
18–24 years,Female,Student,Urban area,"No, but I plan to try it",Chatbot,Rarely,Better than human agents,Billing or account management,Very satisfied,Product inquiry or recommendation,"Banking/Finance (e.g., PayPal)",Completely resolved my issue,"Poor, I had to repeat all information","None, I prefer human agents",4,4,3,4,3,4,2,5,3,3,1,2,4,3,5,1,3,3,1,2,3,3,3,4,4,1,3,5,4,4
18–24 years,Female,Student,Urban area,"Yes, occasionally",Human Agent via Phone/Email,Rarely,Worse than human agents,Complaint resolution,Very satisfied,Complaint resolution or feedback submission,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,Smooth but required minimal clarification from me,"Simple inquiries (e.g., FAQs)",2,3,1,3,4,4,3,3,1,3,4,5,5,1,5,4,4,3,3,3,1,2,2,3,4,3,1,5,5,4
35+ years,Male,Retired,Urban area,"Yes, occasionally",Chatbot,Monthly,Equal to human agents,Technical support,Neutral/Unsure,Complaint resolution or feedback submission,"E-commerce (e.g., Amazon)",Partially resolved but needed human support later,Very smooth and efficient,Billing/account-related issues,3,3,5,4,5,2,4,5,5,3,4,4,1,4,4,5,3,2,1,3,3,4,3,5,5,4,5,4,4,2
18–24 years,Female,Student,Rural area,"No, but I plan to try it",Chatbot,Monthly,I haven't interacted with chatbots,General inquiries,Very satisfied,Other,"Healthcare (e.g., appointment scheduling)",Completely resolved my issue,Smooth but required minimal clarification from me,Technical troubleshooting,3,4,2,4,3,3,5,4,2,3,5,2,2,1,1,5,4,3,4,3,5,5,3,5,4,3,2,3,4,5
18–24 years,Female,Student,Urban area,"Yes, occasionally",Other,Daily,I haven't interacted with chatbots,Technical support,Dissatisfied,Complaint resolution or feedback submission,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,Very smooth and efficient,"None, I prefer human agents",5,2,4,5,3,2,3,5,1,5,2,5,5,3,4,3,4,1,1,1,3,3,4,5,3,4,3,5,5,5
35+ years,Male,Retired,Urban area,"Yes, frequently",Human Agent via Phone/Email,Daily,Better than human agents,Complaint resolution,Somewhat satisfied,Other,"E-commerce (e.g., Amazon)",Completely resolved my issue,Very smooth and efficient,"None, I prefer human agents",4,3,4,4,4,3,3,5,5,5,3,4,3,3,2,4,2,3,5,2,1,1,5,4,3,5,5,3,4,4
18–24 years,Male,Student,Rural area,"No, but I plan to try it",Other,Rarely,Worse than human agents,General inquiries,Very satisfied,Billing or account management assistance,"Banking/Finance (e.g., PayPal)",Completely resolved my issue,Smooth but required minimal clarification from me,"Simple inquiries (e.g., FAQs)",1,3,4,1,5,2,3,3,2,1,4,5,2,4,4,5,3,3,3,4,5,2,3,5,5,5,4,3,4,4
18–24 years,Male,Student,Urban area,"Yes, frequently",Live Chat with Human Agent,Weekly,Better than human agents,General inquiries,Neutral/Unsure,Other,"Banking/Finance (e.g., PayPal)",Partially resolved but needed human support later,Very smooth and efficient,"Simple inquiries (e.g., FAQs)",4,3,4,4,2,4,4,3,5,5,4,4,3,5,4,4,5,3,5,2,3,3,5,5,4,4,4,5,3,3
18–24 years,Female,Student,Urban area,"Yes, frequently",Live Chat with Human Agent,Monthly,I haven't interacted with chatbots,Billing or account management,Dissatisfied,Complaint resolution or feedback submission,"Banking/Finance (e.g., PayPal)",Completely resolved my issue,Smooth but required minimal clarification from me,Billing/account-related issues,3,2,4,5,4,5,1,4,4,5,2,5,4,3,2,5,2,3,3,5,4,4,3,4,4,5,5,1,4,1
18–24 years,Male,Student,Urban area,"Yes, frequently",Chatbot,Weekly,Better than human agents,General inquiries,Very satisfied,Other,"Banking/Finance (e.g., PayPal)",Completely resolved my issue,Smooth but required minimal clarification from me,"None, I prefer human agents",4,3,3,4,3,1,3,5,4,4,4,2,3,4,2,3,3,3,5,1,4,2,5,2,3,4,4,3,3,3
18–24 years,Male,Student,Urban area,"Yes, frequently",Other,Rarely,Equal to human agents,Complaint resolution,Somewhat satisfied,Complaint resolution or feedback submission,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,"Neutral, I had to repeat some information",Technical troubleshooting,1,5,3,1,4,4,4,3,1,5,3,4,4,4,3,3,4,5,5,2,2,5,4,5,2,4,4,4,3,1
18–24 years,Male,Student,Urban area,"No, and I don't plan to use it",Other,Daily,Better than human agents,Complaint resolution,Somewhat satisfied,Other,"Travel/Hospitality (e.g., booking assistance)",Partially resolved but needed human support later,"Poor, I had to repeat all information",Billing/account-related issues,2,1,3,1,4,5,3,3,3,4,1,4,4,4,2,4,1,2,5,4,1,2,2,3,2,1,3,4,4,4
18–24 years,Female,Student,Urban area,"Yes, occasionally",Live Chat with Human Agent,Rarely,Worse than human agents,Billing or account management,Very satisfied,Other,"Banking/Finance (e.g., PayPal)",Did not resolve but escalated smoothly to a human agent,Smooth but required minimal clarification from me,Billing/account-related issues,4,4,4,1,3,5,4,4,3,3,5,4,4,3,4,2,4,3,3,4,5,1,5,3,3,1,3,4,1,3
35+ years,Male,Retired,Urban area,"Yes, frequently",Chatbot,Daily,Equal to human agents,Complaint resolution,Very satisfied,Other,"E-commerce (e.g., Amazon)",Completely resolved my issue,Very smooth and efficient,Billing/account-related issues,5,4,4,5,3,5,1,5,3,4,3,4,1,5,5,2,5,4,4,3,3,2,3,5,1,5,3,4,4,5
18–24 years,Male,Student,Urban area,"Yes, frequently",Chatbot,Daily,Worse than human agents,General inquiries,Neutral/Unsure,Product inquiry or recommendation,"Travel/Hospitality (e.g., booking assistance)",Partially resolved but needed human support later,"Poor, I had to repeat all information",Technical troubleshooting,3,3,4,5,4,4,3,4,3,3,4,5,2,4,4,2,2,3,2,2,3,3,4,4,5,3,4,5,4,3
18–24 years,Male,Student,Urban area,"Yes, occasionally",Chatbot,Weekly,Better than human agents,Technical support,Neutral/Unsure,Product inquiry or recommendation,"Travel/Hospitality (e.g., booking assistance)",Completely resolved my issue,Very smooth and efficient,"None, I prefer human agents",5,3,5,4,2,4,4,4,5,4,4,5,4,3,5,2,4,5,4,4,4,3,5,2,2,3,4,4,5,3
18–24 years,Male,Student,Urban area,"Yes, occasionally",Human Agent via Phone/Email,Monthly,I haven't interacted with chatbots,Technical support,Somewhat satisfied,Other,"Travel/Hospitality (e.g., booking assistance)",Partially resolved but needed human support later,Smooth but required minimal clarification from me,"None, I prefer human agents",2,4,5,4,5,3,4,5,2,5,1,3,1,4,4,4,3,3,1,3,5,3,5,5,3,4,1,2,1,4
18–24 years,Male,Student,Urban area,"Yes, frequently",Other,Weekly,I haven't interacted with chatbots,General inquiries,Neutral/Unsure,Product inquiry or recommendation,"Healthcare (e.g., appointment scheduling)",Did not resolve or escalate properly,"Poor, I had to repeat all information","Simple inquiries (e.g., FAQs)",3,4,3,3,2,3,4,3,4,5,4,4,3,3,4,3,4,2,4,5,5,4,4,4,4,2,3,3,5,3
18–24 years,Male,Student,Urban area,"Yes, occasionally",Chatbot,Daily,Equal to human agents,General inquiries,Dissatisfied,Other,"E-commerce (e.g., Amazon)",Partially resolved but needed human support later,Smooth but required minimal clarification from me,"Simple inquiries (e.g., FAQs)",4,5,1,4,5,3,5,4,4,4,2,2,3,3,3,5,5,4,5,4,3,2,4,4,3,4,1,4,5,4
35+ years,Female,Retired,Rural area,"No, and I don't plan to use it",Chatbot,Weekly,Worse than human agents,General inquiries,Neutral/Unsure,Billing or account management assistance,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,"Poor, I had to repeat all information","Simple inquiries (e.g., FAQs)",3,5,5,5,3,1,1,3,1,1,5,4,3,2,4,1,5,3,3,3,1,4,4,4,2,4,4,5,3,3
18–24 years,Female,Student,Urban area,"Yes, frequently",Human Agent via Phone/Email,Rarely,Equal to human agents,General inquiries,Somewhat satisfied,Other,"Banking/Finance (e.g., PayPal)",Completely resolved my issue,Smooth but required minimal clarification from me,Technical troubleshooting,5,5,3,5,2,5,4,1,4,5,1,4,4,5,3,2,1,4,3,5,1,4,1,2,3,3,4,5,4,5
25–34 years,Female,Professional/Employee,Urban area,"No, but I plan to try it",Human Agent via Phone/Email,Monthly,I haven't interacted with chatbots,Technical support,Dissatisfied,Billing or account management assistance,"Banking/Finance (e.g., PayPal)",Did not resolve or escalate properly,"Poor, I had to repeat all information","Simple inquiries (e.g., FAQs)",3,1,4,5,5,4,2,5,5,2,4,3,5,5,1,5,4,5,3,5,1,3,1,5,5,5,5,1,3,1
18–24 years,Male,Student,Urban area,"Yes, frequently",Human Agent via Phone/Email,Rarely,I haven't interacted with chatbots,Billing or account management,Very satisfied,Other,"Healthcare (e.g., appointment scheduling)",Completely resolved my issue,Smooth but required minimal clarification from me,"Simple inquiries (e.g., FAQs)",5,3,3,4,3,3,2,2,3,3,4,1,2,5,2,3,5,2,1,3,3,4,5,2,4,4,2,4,3,3
18–24 years,Male,Student,Urban area,"Yes, occasionally",Human Agent via Phone/Email,Daily,I haven't interacted with chatbots,Complaint resolution,Very satisfied,Complaint resolution or feedback submission,"E-commerce (e.g., Amazon)",Completely resolved my issue,"Poor, I had to repeat all information",Billing/account-related issues,4,4,5,3,4,5,5,5,3,2,3,4,3,3,5,3,5,3,3,3,4,2,2,5,2,4,4,3,4,2
18–24 years,Male,Student,Urban area,"Yes, frequently",Human Agent via Phone/Email,Rarely,I haven't interacted with chatbots,General inquiries,Somewhat satisfied,Billing or account management assistance,"Travel/Hospitality (e.g., booking assistance)",Did not resolve but escalated smoothly to a human agent,Very smooth and efficient,Billing/account-related issues,5,3,5,5,4,2,3,4,3,1,4,5,4,2,4,2,2,5,2,3,1,5,4,4,4,2,3,3,1,3
35+ years,Male,Self-employed/Business Owner,Urban area,"No, but I plan to try it",Live Chat with Human Agent,Monthly,Better than human agents,Billing or account management,Very satisfied,Product inquiry or recommendation,"Travel/Hospitality (e.g., booking assistance)",Completely resolved my issue,Very smooth and efficient,"None, I prefer human agents",4,4,4,4,5,3,4,3,4,4,1,4,2,4,3,4,2,4,3,5,5,5,4,4,2,3,3,4,5,2
35+ years,Female,Retired,Urban area,"Yes, frequently",Live Chat with Human Agent,Monthly,Worse than human agents,Billing or account management,Very satisfied,Product inquiry or recommendation,"Travel/Hospitality (e.g., booking assistance)",Partially resolved but needed human support later,Very smooth and efficient,"Simple inquiries (e.g., FAQs)",4,5,3,1,1,5,4,4,2,3,1,5,4,5,3,4,4,3,5,5,5,4,3,3,5,1,4,4,4,5
18–24 years,Male,Student,Urban area,"Yes, frequently",Chatbot,Weekly,Equal to human agents,Technical support,Dissatisfied,Product inquiry or recommendation,"Healthcare (e.g., appointment scheduling)",Did not resolve or escalate properly,"Poor, I had to repeat all information","None, I prefer human agents",3,5,1,1,2,4,2,5,3,4,2,3,4,4,4,4,5,5,4,1,1,2,4,3,3,5,5,5,3,4
18–24 years,Male,Student,Urban area,"Yes, frequently",Chatbot,Rarely,Better than human agents,Technical support,Somewhat satisfied,Product inquiry or recommendation,"Banking/Finance (e.g., PayPal)",Completely resolved my issue,Very smooth and efficient,"None, I prefer human agents",3,3,3,4,3,2,2,4,5,3,4,4,5,5,4,4,5,3,3,1,5,5,2,4,3,2,5,2,1,4
18–24 years,Male,Student,Urban area,"Yes, occasionally",Other,Monthly,Equal to human agents,General inquiries,Neutral/Unsure,Other,"Healthcare (e.g., appointment scheduling)",Did not resolve or escalate properly,Very smooth and efficient,"Simple inquiries (e.g., FAQs)",5,5,3,5,3,3,1,1,4,3,2,4,3,4,3,5,5,3,3,3,5,3,2,1,3,3,5,2,3,5
25–34 years,Male,Professional/Employee,Urban area,"Yes, frequently",Other,Weekly,Better than human agents,Complaint resolution,Somewhat satisfied,Product inquiry or recommendation,"Healthcare (e.g., appointment scheduling)",Completely resolved my issue,Smooth but required minimal clarification from me,Billing/account-related issues,5,3,2,4,4,3,5,5,2,2,4,4,1,4,4,2,4,5,1,3,3,5,5,3,4,4,4,3,2,3
18–24 years,Male,Student,Rural area,"Yes, occasionally",Human Agent via Phone/Email,Rarely,I haven't interacted with chatbots,General inquiries,Somewhat satisfied,Billing or account management assistance,"Healthcare (e.g., appointment scheduling)",Partially resolved but needed human support later,"Poor, I had to repeat all information","None, I prefer human agents",5,3,3,5,1,3,3,3,3,1,3,1,4,3,3,5,4,1,5,2,2,4,4,3,2,4,3,5,2,5
18–24 years,Female,Student,Urban area,"Yes, occasionally",Live Chat with Human Agent,Rarely,Better than human agents,General inquiries,Neutral/Unsure,Product inquiry or recommendation,"Travel/Hospitality (e.g., booking assistance)",Partially resolved but needed human support later,"Poor, I had to repeat all information",Billing/account-related issues,3,2,3,4,3,4,5,2,3,3,3,2,1,5,3,3,5,4,2,4,3,4,4,4,3,5,1,2,3,1
18–24 years,Female,Student,Rural area,"Yes, occasionally",Chatbot,Rarely,Equal to human agents,Technical support,Somewhat satisfied,Other,"E-commerce (e.g., Amazon)",Partially resolved but needed human support later,Smooth but required minimal clarification from me,Billing/account-related issues,2,3,1,5,4,5,4,3,2,4,3,4,1,1,4,4,4,2,4,2,1,3,2,2,3,3,1,1,2,1
18–24 years,Male,Student,Urban area,"Yes, frequently",Live Chat with Human Agent,Daily,I haven't interacted with chatbots,Technical support,Very satisfied,Product inquiry or recommendation,"E-commerce (e.g., Amazon)",Did not resolve but escalated smoothly to a human agent,"Neutral, I had to repeat some information","None, I prefer human agents",4,4,2,2,3,5,4,4,3,3,2,2,5,4,3,5,2,5,3,3,3,2,2,4,5,4,2,4,2,1
18–24 years,Male,Student,Urban area,"Yes, frequently",Other,Weekly,Better than human agents,Complaint resolution,Very satisfied,Complaint resolution or feedback submission,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,"Poor, I had to repeat all information",Technical troubleshooting,2,3,4,4,4,5,4,3,3,4,4,4,4,1,3,3,2,1,4,4,3,3,3,2,4,4,4,4,4,1
18–24 years,Male,Student,Rural area,"Yes, occasionally",Live Chat with Human Agent,Weekly,Worse than human agents,General inquiries,Somewhat satisfied,Complaint resolution or feedback submission,"E-commerce (e.g., Amazon)",Did not resolve or escalate properly,Smooth but required minimal clarification from me,"None, I prefer human agents",1,3,2,1,3,5,3,4,4,3,4,2,2,4,2,5,2,4,3,2,1,4,5,5,3,4,4,4,3,4
25–34 years,Male,Retired,Rural area,"No, but I plan to try it",Chatbot,Monthly,I haven't interacted with chatbots,General inquiries,Somewhat satisfied,Complaint resolution or feedback submission,"Banking/Finance (e.g., PayPal)",Completely resolved my issue,Smooth but required minimal clarification from me,"None, I prefer human agents",3,5,3,2,4,3,4,4,5,4,4,4,5,3,1,3,2,4,4,4,1,4,3,4,4,3,2,1,5,5
18–24 years,Male,Student,Urban area,"Yes, occasionally",Live Chat with Human Agent,Weekly,Worse than human agents,Billing or account management,Very satisfied,Product inquiry or recommendation,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,Very smooth and efficient,"None, I prefer human agents",3,1,4,5,5,4,4,1,4,3,4,3,2,1,3,1,2,5,3,4,5,5,4,5,3,3,3,4,4,3
18–24 years,Female,Student,Urban area,"Yes, occasionally",Other,Rarely,Better than human agents,Technical support,Very satisfied,Billing or account management assistance,"Travel/Hospitality (e.g., booking assistance)",Did not resolve but escalated smoothly to a human agent,Smooth but required minimal clarification from me,Technical troubleshooting,4,4,2,1,3,3,4,5,2,2,5,2,3,4,4,1,1,2,4,4,2,4,5,1,3,4,3,3,4,5
25–34 years,Female,Self-employed/Business Owner,Rural area,"Yes, frequently",Live Chat with Human Agent,Daily,I haven't interacted with chatbots,General inquiries,Dissatisfied,Complaint resolution or feedback submission,"Banking/Finance (e.g., PayPal)",Partially resolved but needed human support later,"Poor, I had to repeat all information",Technical troubleshooting,5,4,4,5,5,5,3,5,4,5,4,3,3,4,4,3,4,3,5,3,1,2,1,3,2,2,5,5,3,5
<18 years,Female,Professional/Employee,Urban area,"Yes, occasionally",Human Agent via Phone/Email,Rarely,Worse than human agents,General inquiries,Somewhat satisfied,Billing or account management assistance,"Banking/Finance (e.g., PayPal)",Completely resolved my issue,Smooth but required minimal clarification from me,"Simple inquiries (e.g., FAQs)",2,3,4,4,3,3,2,3,2,4,2,1,4,4,5,4,3,5,4,1,4,5,3,3,2,2,3,4,1,5
18–24 years,Female,Student,Urban area,"Yes, frequently",Live Chat with Human Agent,Weekly,I haven't interacted with chatbots,Technical support,Somewhat satisfied,Other,"Banking/Finance (e.g., PayPal)",Partially resolved but needed human support later,Very smooth and efficient,Technical troubleshooting,5,2,5,5,2,4,1,3,4,4,5,4,3,5,5,1,5,1,5,3,2,3,4,3,1,4,5,3,2,3
18–24 years,Female,Student,Urban area,"Yes, occasionally",Chatbot,Weekly,Better than human agents,Technical support,Somewhat satisfied,Complaint resolution or feedback submission,"Travel/Hospitality (e.g., booking assistance)",Did not resolve but escalated smoothly to a human agent,Smooth but required minimal clarification from me,Billing/account-related issues,4,4,3,5,4,4,2,4,4,2,1,4,4,4,2,4,1,3,2,2,2,3,1,3,4,3,3,5,2,4
18–24 years,Male,Student,Urban area,"Yes, occasionally",Other,Daily,I haven't interacted with chatbots,Complaint resolution,Very satisfied,Product inquiry or recommendation,"E-commerce (e.g., Amazon)",Did not resolve but escalated smoothly to a human agent,"Neutral, I had to repeat some information",Technical troubleshooting,1,2,4,4,1,5,5,3,1,2,2,2,4,2,3,5,4,5,2,3,4,1,1,4,4,3,3,3,1,3
18–24 years,Male,Student,Rural area,"No, but I plan to try it",Other,Rarely,I haven't interacted with chatbots,Billing or account management,Somewhat satisfied,Product inquiry or recommendation,"E-commerce (e.g., Amazon)",Completely resolved my issue,Very smooth and efficient,"None, I prefer human agents",2,4,4,4,3,5,1,3,3,4,5,2,5,5,2,3,3,5,2,4,3,4,3,4,5,5,5,1,4,2
18–24 years,Male,Student,Urban area,"Yes, occasionally",Human Agent via Phone/Email,Weekly,I haven't interacted with chatbots,Technical support,Dissatisfied,Billing or account management assistance,"Travel/Hospitality (e.g., booking assistance)",Completely resolved my issue,Smooth but required minimal clarification from me,"None, I prefer human agents",2,5,5,5,5,2,3,4,3,3,3,4,4,2,3,4,4,2,4,1,3,4,4,3,4,4,4,4,4,3
18–24 years,Male,Student,Urban area,"Yes, occasionally",Chatbot,Weekly,Better than human agents,Complaint resolution,Somewhat satisfied,Product inquiry or recommendation,"Banking/Finance (e.g., PayPal)",Did not resolve but escalated smoothly to a human agent,Very smooth and efficient,"Simple inquiries (e.g., FAQs)",4,1,4,5,2,3,1,4,4,3,4,5,2,1,5,4,5,4,5,3,4,5,4,2,3,2,2,3,4,4
18–24 years,Female,Student,Urban area,"Yes, frequently",Human Agent via Phone/Email,Weekly,Equal to human agents,General inquiries,Dissatisfied,Complaint resolution or feedback submission,"Travel/Hospitality (e.g., booking assistance)",Did not resolve or escalate properly,"Poor, I had to repeat all information","Simple inquiries (e.g., FAQs)",5,1,4,4,4,5,1,2,5,3,4,4,4,5,5,4,3,5,1,2,5,3,2,2,5,4,4,2,4,4
18–24 years,Male,Student,Urban area,"No, and I don't plan to use it",Live Chat with Human Agent,Daily,Worse than human agents,General inquiries,Somewhat satisfied,Complaint resolution or feedback submission,"Healthcare (e.g., appointment scheduling)",Completely resolved my issue,"Neutral, I had to repeat some information",Technical troubleshooting,4,5,3,2,4,4,4,2,4,3,3,4,4,2,3,3,2,4,5,3,4,5,5,2,5,3,3,1,3,2
18–24 years,Male,Student,Urban area,"No, but I plan to try it",Live Chat with Human Agent,Daily,Better than human agents,Billing or account management,Neutral/Unsure,Complaint resolution or feedback submission,"Banking/Finance (e.g., PayPal)",Did not resolve or escalate properly,Very smooth and efficient,Billing/account-related issues,4,5,4,3,4,4,4,2,3,5,5,2,5,3,4,4,5,5,3,5,2,4,4,4,3,5,2,1,4,3
25–34 years,Male,Professional/Employee,Urban area,"Yes, occasionally",Chatbot,Weekly,Worse than human agents,Technical support,Very satisfied,Product inquiry or recommendation,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,Very smooth and efficient,Technical troubleshooting,4,5,5,5,3,3,4,5,2,3,2,4,3,3,1,3,5,2,4,4,5,2,5,4,5,5,2,1,3,4
18–24 years,Male,Student,Urban area,"Yes, frequently",Other,Daily,Better than human agents,Complaint resolution,Somewhat satisfied,Other,"Healthcare (e.g., appointment scheduling)",Partially resolved but needed human support later,Smooth but required minimal clarification from me,"Simple inquiries (e.g., FAQs)",3,5,4,3,3,5,5,5,4,2,3,1,5,4,4,3,5,3,1,3,4,3,5,2,4,4,3,5,4,4
25–34 years,Female,Retired,Urban area,"Yes, frequently",Other,Daily,Equal to human agents,Billing or account management,Neutral/Unsure,Billing or account management assistance,"Travel/Hospitality (e.g., booking assistance)",Completely resolved my issue,"Poor, I had to repeat all information",Billing/account-related issues,2,1,5,2,1,2,1,3,5,3,3,4,4,5,5,1,4,3,5,3,5,4,2,4,5,5,1,4,3,1
18–24 years,Male,Student,Urban area,"Yes, frequently",Other,Monthly,Equal to human agents,Technical support,Very satisfied,Complaint resolution or feedback submission,"E-commerce (e.g., Amazon)",Completely resolved my issue,"Poor, I had to repeat all information","None, I prefer human agents",1,2,4,3,3,3,5,5,3,3,2,5,1,3,3,3,2,4,2,4,2,1,5,2,5,4,1,5,2,5
18–24 years,Female,Student,Urban area,"Yes, occasionally",Chatbot,Rarely,Equal to human agents,Technical support,Neutral/Unsure,Product inquiry or recommendation,"E-commerce (e.g., Amazon)",Did not resolve but escalated smoothly to a human agent,"Neutral, I had to repeat some information",Technical troubleshooting,2,3,3,3,3,4,2,4,2,3,4,4,4,4,2,4,1,3,3,1,3,5,5,3,1,2,3,5,2,4
18–24 years,Female,Student,Urban area,"Yes, occasionally",Human Agent via Phone/Email,Monthly,Worse than human agents,Billing or account management,Neutral/Unsure,Product inquiry or recommendation,"Banking/Finance (e.g., PayPal)",Completely resolved my issue,Very smooth and efficient,"Simple inquiries (e.g., FAQs)",5,5,4,5,1,3,3,4,3,2,4,5,3,2,2,2,3,4,4,4,3,5,2,3,5,2,2,5,3,4
18–24 years,Female,Student,Urban area,"Yes, frequently",Chatbot,Rarely,Worse than human agents,General inquiries,Somewhat satisfied,Product inquiry or recommendation,"E-commerce (e.g., Amazon)",Did not resolve or escalate properly,"Poor, I had to repeat all information",Billing/account-related issues,3,1,5,1,3,2,3,5,2,5,2,4,4,5,4,4,2,2,5,3,3,4,3,5,4,4,5,1,3,3
18–24 years,Female,Student,Rural area,"No, but I plan to try it",Human Agent via Phone/Email,Weekly,I haven't interacted with chatbots,General inquiries,Somewhat satisfied,Other,"E-commerce (e.g., Amazon)",Did not resolve but escalated smoothly to a human agent,Smooth but required minimal clarification from me,"Simple inquiries (e.g., FAQs)",5,4,4,5,3,3,5,3,4,5,4,4,5,5,3,1,3,4,3,4,3,4,2,4,4,2,3,4,3,2
35+ years,Female,Retired,Urban area,"Yes, occasionally",Chatbot,Rarely,Equal to human agents,Technical support,Very satisfied,Product inquiry or recommendation,"Banking/Finance (e.g., PayPal)",Did not resolve or escalate properly,Smooth but required minimal clarification from me,Billing/account-related issues,4,4,3,1,1,3,3,3,2,4,5,5,3,4,5,3,3,5,4,3,2,2,5,4,3,2,4,4,2,5
18–24 years,Male,Student,Urban area,"Yes, frequently",Live Chat with Human Agent,Weekly,Better than human agents,Billing or account management,Very satisfied,Product inquiry or recommendation,"E-commerce (e.g., Amazon)",Did not resolve but escalated smoothly to a human agent,"Neutral, I had to repeat some information","Simple inquiries (e.g., FAQs)",3,4,4,5,4,5,4,3,3,4,2,1,4,5,2,4,5,3,1,2,4,4,5,4,2,2,4,2,3,3
18–24 years,Male,Student,Urban area,"Yes, frequently",Other,Daily,I haven't interacted with chatbots,Complaint resolution,Very satisfied,Other,"Travel/Hospitality (e.g., booking assistance)",Did not resolve or escalate properly,"Poor, I had to repeat all information","Simple inquiries (e.g., FAQs)",3,4,5,4,5,2,1,5,3,3,4,5,5,3,5,1,1,4,1,3,4,3,2,3,3,3,4,4,3,5
18–24 years,Male,Student,Urban area,"Yes, frequently",Human Agent via Phone/Email,Weekly,Better than human agents,Billing or account management,Neutral/Unsure,Complaint resolution or feedback submission,"E-commerce (e.g., Amazon)",Did not resolve or escalate properly,"Poor, I had to repeat all information",Billing/account-related issues,3,4,4,5,3,2,3,4,5,3,4,3,4,5,2,3,5,5,4,4,3,4,5,4,3,2,3,2,1,3
18–24 years,Male,Student,Urban area,"Yes, frequently",Human Agent via Phone/Email,Daily,Worse than human agents,General inquiries,Neutral/Unsure,Complaint resolution or feedback submission,"Travel/Hospitality (e.g., booking assistance)",Did not resolve but escalated smoothly to a human agent,Smooth but required minimal clarification from me,Billing/account-related issues,4,5,4,4,5,4,1,3,5,3,1,4,5,2,4,2,4,3,3,5,3,4,3,3,4,2,3,2,4,5
35+ years,Male,Professional/Employee,Urban area,"No, and I don't plan to use it",Other,Daily,Worse than human agents,Billing or account management,Dissatisfied,Complaint resolution or feedback submission,"E-commerce (e.g., Amazon)",Did not resolve but escalated smoothly to a human agent,"Poor, I had to repeat all information","None, I prefer human agents",4,1,1,3,5,5,1,4,5,3,5,2,5,4,5,4,3,5,3,3,4,4,5,2,4,4,1,3,3,3
35+ years,Female,Professional/Employee,Urban area,"Yes, frequently",Chatbot,Monthly,Better than human agents,General inquiries,Very satisfied,Complaint resolution or feedback submission,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,Smooth but required minimal clarification from me,Technical troubleshooting,4,3,4,3,2,2,3,5,2,3,3,4,2,5,5,4,4,1,3,4,1,3,4,3,5,2,4,4,4,3
18–24 years,Female,Student,Urban area,"Yes, frequently",Chatbot,Monthly,Better than human agents,Billing or account management,Neutral/Unsure,Other,"Travel/Hospitality (e.g., booking assistance)",Did not resolve or escalate properly,Smooth but required minimal clarification from me,"None, I prefer human agents",3,4,4,5,5,3,2,1,4,5,2,2,1,5,3,3,4,5,4,4,2,4,4,5,2,1,1,3,5,1
18–24 years,Male,Student,Urban area,"Yes, occasionally",Human Agent via Phone/Email,Weekly,Worse than human agents,Technical support,Dissatisfied,Billing or account management assistance,"E-commerce (e.g., Amazon)",Did not resolve or escalate properly,Very smooth and efficient,"None, I prefer human agents",5,4,4,1,1,1,2,3,5,3,3,4,2,4,4,4,5,3,4,5,4,3,5,1,5,1,4,5,3,3
18–24 years,Female,Student,Urban area,"Yes, occasionally",Chatbot,Monthly,Equal to human agents,General inquiries,Neutral/Unsure,Product inquiry or recommendation,"Travel/Hospitality (e.g., booking assistance)",Did not resolve but escalated smoothly to a human agent,Very smooth and efficient,Technical troubleshooting,3,1,1,2,5,3,4,3,3,3,4,4,5,4,4,4,5,4,1,4,4,4,2,5,5,2,5,1,1,2
18–24 years,Female,Student,Urban area,"Yes, frequently",Other,Weekly,Better than human agents,Complaint resolution,Somewhat satisfied,Product inquiry or recommendation,"Healthcare (e.g., appointment scheduling)",Did not resolve or escalate properly,Smooth but required minimal clarification from me,"Simple inquiries (e.g., FAQs)",5,5,1,5,1,2,1,3,4,4,3,4,2,4,2,2,2,2,4,5,1,4,4,5,2,3,5,4,3,2
